product;sourceService;targetService;protocol;port;description
VBR;Backup server;Backup proxy;TCP;6210;Default port used by the Veeam Backup VSS Integration Service for taking a VSS snapshot during the SMB file share backup.
VBR;Backup proxy;Backup server;TCP;2500 to 3300;Default range of ports used for malware detection metadata transfer.
VBR;Backup proxy;vCenter Server;TCP;443;Default VMware web service port that can be customized in vCenter settings.
VBR;Backup proxy;ESXi server;TCP;902;Default VMware port used for data transfer. This port is not required for VMware Cloud on AWS.
VBR;Backup proxy;ESXi server;TCP;443;Default VMware web service port that can be customized in ESXi host settings. Not required if vCenter connection is used. This port is not required for VMware Cloud on AWS.
VBR;Backup proxy;Gateway server;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup proxy;Backup proxy;TCP;2500 to 3300;Default range of ports used as transmission channels for replication jobs. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;6160;Default port used by Veeam Installer Service.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;6162;Default port used by Veeam Data Mover Service.
VBR;Backup server;Gateway server (Linux);TCP;22;Default SSH port used as a control channel.
VBR;Backup server;Gateway server (Linux);TCP;6160;Default port used by Veeam Installer Service for Linux.
VBR;Backup server;Gateway server (Linux);TCP;6162;Default port used by Veeam Data Mover Service. You can specify a different port while adding the Linux server to the Veeam Backup & Replication infrastructure. Note that you can specify a different port only if there is no previously installed Veeam Data Mover on this Linux server. For more information, see Specify Credentials and SSH Settings.
VBR;Backup server;Gateway server;TCP;2500 to 3300;Default range of ports used as transmission channels and for collecting log files. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup proxy;Gateway server;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup server;Backup repository (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components.
VBR;Backup server;Backup repository (Microsoft Windows);TCP;6160;Default port used by Veeam Installer Service.
VBR;Backup server;Backup repository (Microsoft Windows);TCP;6162;Default port used by Veeam Data Mover Service.
VBR;Backup server;Backup repository (Microsoft Windows);TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
VBR;Backup server;Backup repository (Linux);TCP;22;Default SSH port used as a control channel.
VBR;Backup server;Backup repository (Linux);TCP;6160;Default port used by Veeam Installer Service for Linux.
VBR;Backup server;Backup repository (Linux);TCP;6162;Default port used by Veeam Data Mover Service. You can specify a different port while adding the Linux server to the Veeam Backup & Replication infrastructure. Note that you can specify a different port only if there is no previously installed Veeam Data Mover on this Linux server. For more information, see Specify Credentials and SSH Settings.
VBR;Backup server;Backup repository (Linux);TCP;2500 to 3300;Default range of ports used as transmission channels and for collecting log files. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup repository (Linux);Backup server;TCP;2500 to 3300;Default range of ports used as transmission channels for copy backup operations if the backup server is used as the target backup repository. These ports are also required for file copy operations between the Linux backup repository and the backup server. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
VBR;Backup repository (Linux);Veeam Update Repository;TCP;443;Used by backup repositories created with the Veeam Hardened Repository ISO to download security and operating system updates. Veeam Update Repository endpoints: repository.veeam.com
VBR;Backup proxy;Backup repository;TCP;2500 to 3300;Default range of ports used as transmission channels. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
